KD_KPP,NAMA_KANTOR,NAMA_KANWIL,WP_BENDAHARA,WP_BADAN,WP_OP_KARYAWAN,WP_OP_PENGUSAHA,JUMLAH_FPP,JUMLAH_AR,REALISASI_ANGGARAN,KEPATUHAN_SPT,CAPAIAN_PENERIMAAN,PERTUMBUHAN_PENERIMAAN,SP2DK_TERBIT,SP2DK_CAIR,PEMERIKSAAN_SELESAI
924,KPP Pratama Ruteng,KANTOR WILAYAH DJP NUSA TENGGARA,1051,3600,19783,3428,5,18,6866774564,109.13999999999999,143.52,50.52,483,801,152
925,KPP Pratama Atambua,KANTOR WILAYAH DJP NUSA TENGGARA,1241,3396,32204,10534,5,27,10793187931,108.23,130.65,-0.04,2368,1555,212
926,KPP Pratama Waingapu,KANTOR WILAYAH DJP NUSA TENGGARA,1174,3030,29429,4813,6,19,7007818350,104.67999999999999,129.38,9.97,993,1216,192
941,KPP Pratama Ambon,"KANTOR WILAYAH DJP PAPUA, PAPUA BARAT DAN MALUKU",3047,9016,119471,20689,12,36,19775460749,101.85,124.8,15.99,3598,4022,228
942,KPP Pratama Ternate,KANTOR WILAYAH DJP SULUT TENGGO DAN MALUT,961,5897,43249,9061,10,34,10778309749,121.99,126.55,52.76,1879,1546,264
943,KPP Pratama Tobelo,KANTOR WILAYAH DJP SULUT TENGGO DAN MALUT,588,2475,18544,8441,5,11,7501392075,103.27,120.55,32.6,354,952,111
951,KPP Pratama Sorong,"KANTOR WILAYAH DJP PAPUA, PAPUA BARAT DAN MALUKU",1974,9104,62812,10831,9,33,14607577989,105.08,121.11,1.61,1202,1763,201
952,KPP Pratama Jayapura,"KANTOR WILAYAH DJP PAPUA, PAPUA BARAT DAN MALUKU",4995,12026,83543,21258,10,44,14483080155,103.85,142.87,23.55,2393,3637,331
953,KPP Pratama Timika,"KANTOR WILAYAH DJP PAPUA, PAPUA BARAT DAN MALUKU",340,3254,34840,5521,5,38,11050730170,106.71,112.16,10.94,1936,1803,191
954,KPP Pratama Biak,"KANTOR WILAYAH DJP PAPUA, PAPUA BARAT DAN MALUKU",1318,3875,35837,9399,4,21,11796098687,118.12,138.03,25.42,422,949,129
955,KPP Pratama Manokwari,"KANTOR WILAYAH DJP PAPUA, PAPUA BARAT DAN MALUKU",1152,10768,45836,6822,5,20,9468831859,104.56,124.17,5.0,2084,1394,349
956,KPP Pratama Merauke,"KANTOR WILAYAH DJP PAPUA, PAPUA BARAT DAN MALUKU",1067,3685,22239,5952,5,17,7452757395,102.49999999999999,147.5,46.41,855,748,101
